2025-06-22 01:36:30 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants | Status: 200 | Size: 355 bytes
2025-06-22 01:36:30 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/tenants/nhqmzvcx/info | Status: 200 | Size: 48 bytes
2025-06-22 01:36:30 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants/nhqmzvcx/roles | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:36:30 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/api/v1/users/g2wvmqak/tenants/nhqmzvcx/roles | Status: 200 | Size: 3 bytes
2025-06-22 01:39:10 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/projects | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:11 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/projects | Status: 200 | Size: 71525 bytes
2025-06-22 01:39:11 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/custom-grid.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:11 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/css/main.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:11 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/js/common.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:11 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/js/field-transformers.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:11 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/custom-grid.css | Status: 304 | Size: 1011 bytes
2025-06-22 01:39:11 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/css/main.css | Status: 304 | Size: 212162 bytes
2025-06-22 01:39:11 | INFO     | grc.api:111 | log_request_info() | Request: GET http://127.0.0.1:3000/static/img/icon.png | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-22 01:39:11 | INFO     | grc.api:117 | log_response_info() | Response: GET http://127.0.0.1:3000/static/js/common.js | Status: 304 | Size: 6853 bytes
